dll,name,address
KERNEL32.dll,SetFilePointer,0x416000
KERNEL32.dll,WriteFile,0x416004
KERNEL32.dll,ReadFile,0x416008
KERNEL32.dll,CreateFileW,0x41600c
KERNEL32.dll,GetLastError,0x416010
KERNEL32.dll,CloseHandle,0x416014
KERNEL32.dll,FindFirstFileW,0x416018
KERNEL32.dll,CreateDirectoryW,0x41601c
KERNEL32.dll,SetFileTime,0x416020
KERNEL32.dll,FindClose,0x416024
KERNEL32.dll,SetFileAttributesW,0x416028
KERNEL32.dll,GetEnvironmentVariableW,0x41602c
KERNEL32.dll,GetTempFileNameW,0x416030
KERNEL32.dll,GetModuleFileNameW,0x416034
KERNEL32.dll,DeleteFileW,0x416038
KERNEL32.dll,WideCharToMultiByte,0x41603c
KERNEL32.dll,MultiByteToWideChar,0x416040
KERNEL32.dll,GetFileAttributesA,0x416044
KERNEL32.dll,GetModuleFileNameA,0x416048
KERNEL32.dll,CreateProcessW,0x41604c
KERNEL32.dll,GetStringTypeW,0x416050
KERNEL32.dll,FlushFileBuffers,0x416054
KERNEL32.dll,WriteConsoleW,0x416058
KERNEL32.dll,LCMapStringW,0x41605c
KERNEL32.dll,HeapFree,0x416060
KERNEL32.dll,HeapAlloc,0x416064
KERNEL32.dll,EncodePointer,0x416068
KERNEL32.dll,DecodePointer,0x41606c
KERNEL32.dll,GetSystemTimeAsFileTime,0x416070
KERNEL32.dll,GetCommandLineW,0x416074
KERNEL32.dll,IsDebuggerPresent,0x416078
KERNEL32.dll,IsProcessorFeaturePresent,0x41607c
KERNEL32.dll,GetProcessHeap,0x416080
KERNEL32.dll,InterlockedDecrement,0x416084
KERNEL32.dll,ExitProcess,0x416088
KERNEL32.dll,GetModuleHandleExW,0x41608c
KERNEL32.dll,GetProcAddress,0x416090
KERNEL32.dll,AreFileApisANSI,0x416094
KERNEL32.dll,GetStdHandle,0x416098
KERNEL32.dll,EnterCriticalSection,0x41609c
KERNEL32.dll,LeaveCriticalSection,0x4160a0
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4160a4
KERNEL32.dll,RtlUnwind,0x4160a8
KERNEL32.dll,HeapSize,0x4160ac
KERNEL32.dll,Sleep,0x4160b0
KERNEL32.dll,GetConsoleMode,0x4160b4
KERNEL32.dll,ReadConsoleW,0x4160b8
KERNEL32.dll,GetConsoleCP,0x4160bc
KERNEL32.dll,SetFilePointerEx,0x4160c0
KERNEL32.dll,GetFileType,0x4160c4
KERNEL32.dll,DeleteCriticalSection,0x4160c8
KERNEL32.dll,GetStartupInfoW,0x4160cc
KERNEL32.dll,RaiseException,0x4160d0
KERNEL32.dll,SetLastError,0x4160d4
KERNEL32.dll,InterlockedIncrement,0x4160d8
KERNEL32.dll,GetCurrentThreadId,0x4160dc
KERNEL32.dll,QueryPerformanceCounter,0x4160e0
KERNEL32.dll,GetCurrentProcessId,0x4160e4
KERNEL32.dll,GetEnvironmentStringsW,0x4160e8
KERNEL32.dll,FreeEnvironmentStringsW,0x4160ec
KERNEL32.dll,UnhandledExceptionFilter,0x4160f0
KERNEL32.dll,SetUnhandledExceptionFilter,0x4160f4
KERNEL32.dll,GetCurrentProcess,0x4160f8
KERNEL32.dll,TerminateProcess,0x4160fc
KERNEL32.dll,TlsAlloc,0x416100
KERNEL32.dll,TlsGetValue,0x416104
KERNEL32.dll,TlsSetValue,0x416108
KERNEL32.dll,TlsFree,0x41610c
KERNEL32.dll,GetModuleHandleW,0x416110
KERNEL32.dll,LoadLibraryExW,0x416114
KERNEL32.dll,IsValidCodePage,0x416118
KERNEL32.dll,GetACP,0x41611c
KERNEL32.dll,GetOEMCP,0x416120
KERNEL32.dll,GetCPInfo,0x416124
KERNEL32.dll,OutputDebugStringW,0x416128
KERNEL32.dll,LoadLibraryW,0x41612c
KERNEL32.dll,HeapReAlloc,0x416130
KERNEL32.dll,SetStdHandle,0x416134
KERNEL32.dll,SetEndOfFile,0x416138
SHLWAPI.dll,PathAppendW,0x416140
